Station,Longitude,Latitude,Contributors,Dino_tot,Aand,Atax,Btep,Bspo,Crug,Iacu,Icas,Ipal,Ipar,Ipat,Isph,Istr,Ipli,Ivel,Ijap,Ivar,Lmac,Mcho,Nlab,Nrig,Oagu,Ocen,Oisr,Ojan,Olon,Ogig,Pzoh,Pret,Smem,Scru,Sdel,Selo,Sram,Sbel,Sben,Sbul,Slaz,Smir,Sgra,Spac,Sspp,Tpel,Pdal,Stri,Imin,Imic,Ibre,Ekar,Bspp,Dubr,Peri,Lspp,Snep,Xxan,Squa,Pnud,Tapp,Tvar,Vcal,Vspi,Pame,Qcon,Psch,Parc,Pkof,Phar,Gymn,Eacu,Egra,Edel,Etra,Ezon,Espp,Sste,Sbif,Cysa,Tvan,Dcha,Bbal,Ppsi,Sant,Ppon,Srob,Pmon,Cmer,Ebis,Oaca,Srei,Tpal,Pgla,Pmin
G061,-58.73,50.12,de vernal et al DB1826,100.00,,,0.53,,,,,,,,,,,,,,,,21.11,,,37.47,,,,,,,,,,2.90,5.01,,,,,,,,3.96,,20.32,,1.06,,,,7.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G062,-62.63,48.52,de vernal et al DB1826,100.00,,,0.88,,,,,,,,,,,,,,,,17.51,,,15.75,,,,,,,,,,2.63,1.31,,,,,0.22,,,1.75,,47.26,,4.16,,,,5.69,,,,,,1.75,,,,,,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G063,-62.54,48.64,de vernal et al DB1826,100.00,,0.16,1.11,,,,,,,,,,,,,,,,10.95,,,35.24,,,,,,,,,,3.17,1.27,,,,,,,,1.27,,25.87,0.32,16.51,0.48,,,3.17,,,,,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G064,-62.54,48.64,de vernal et al DB1826,100.00,,0.63,1.26,,,,,,,,,,,,,,,,12.58,,,20.44,,,,,,,,,,1.89,0.63,,,,,,,,3.14,,55.35,,,,,,3.14,,,,,,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G065,-60.03,47.35,de vernal et al DB1826,100.00,,,4.26,,,,,,,,,,,,,,,,11.15,,,32.13,,,,,,,,,,1.64,2.30,,,,,,,,4.26,,25.25,,0.98,,,,17.70,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G066,-59.88,47.52,de vernal et al DB1826,100.00,,,8.07,,,,,,,,0.15,,,,,,,,7.17,,,35.58,,,,,,,,,,3.29,1.05,,,,,,,,0.75,,36.92,0.45,1.05,,,,5.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G067,-67.44,49.09,de vernal et al DB1826,100.00,,0.66,1.32,,,,,,,,,,,,,,,,4.95,,,1.32,,,,,,,,,,0.99,0.66,,,,,,,,0.99,,33.99,0.33,7.26,,,,37.95,,,,,,5.94,,,,,,3.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G068,-63.99,49.29,de vernal et al DB1826,100.00,,0.29,0.86,,,,,,,,,,,,,,,,13.22,,,18.10,,,,,,,,,,4.31,1.72,,,,,,,,2.59,,25.29,0.29,4.31,,,,23.28,,,,,,5.46,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G069,-65.21,47.92,de vernal et al DB1826,100.00,,,,,,,,,,,,,,,,,,,0.95,,,5.36,,,,,,,,,,,0.32,,,,,,,,1.26,,26.18,,11.04,,,,42.90,,,,,,6.31,,,,,,5.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G070,-61.17,48.53,de vernal et al DB1826,100.00,,,,,,,,,,,,,,,,,,,1.88,,,6.58,,,,,,,,,,1.25,0.94,,,,,,,,0.31,,33.23,1.57,11.29,,,,30.72,,,,,,9.09,,,,,,3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
